name,shortname
logan,logy
louis,lou
louis,louie
louise,lou
lucas,luke
lucille,lucy
lewis,lewie
lewis,lewy
lewis,lew
lewis,leba
lucina,luckier
lucina,lucinait
madeline,maddie
madeline,magdaline
madison,maddie
marcus,marc
marcus,mark
marcus,mars
margaret,peg
margaret,peggy
margaret,daisy
margaret,maggie
margaret,marge
margaret,meg
maria,mia
martin,marty
melanie,melane
melanie,elaine
melanie,mel
mary,daisie
mary,maisie
mary,polly
mary,molly
mary,mare
matthew,matt
matthew,matty
megan,meg
melanie,mel
melissa,mel
melissa,lissa
melissa,missy
melinda,mel
melinda,mindy
michael,mike
michael,mick
michael,mikey
michael,mickey
michael,mic
michele,shell
michele,shelley
miranda,randy
miranda,mindy
mitchell,mitch
montgomery,monty
morrison,morry
morrison,merry
morrison,moris
morrison,morris
morrison,doris
morrison,dory
marion,mamie
marion,marie
marion,mariana
marion,marrier
maxim,max
maxim,maxie
maxim,maxi
maxim,maaz
maxim,maxus
maxim,maxam
maxmillion,max
natasha,tasha
natasha,tash
natasha,nat
nathan,nate
nathan,nat
nathaniel,nat
nathaniel,nath
nichola,nickie
nichola,nicki
nichola,nicky
nichola,nikki
nicholas,nick
nicholas,nicky
nichole,nickie
nichole,nicki
nichole,nicky
nichole,nikki
nigel,nig
nigel,niggy
nigel,niglet
nigel,nige
norbert,bert
norbert,nobby
norbert,burt
norbert,nob
norbert,bob
norbert,bobbie
norbert,bobby
norman,nour
norman,orman
norman,orbie
oliver,ollie
oliver,ol
oliver,olly
olivia,ollie
olivia,liv
olivia,via
olive,liv
olive,olivetta
olive,oliver
oswald,ozzy
oswald,oz
oscar,iscariot
oscar,ozzy
oscar,osc
oscar,os
pamela,pam
pasquale,pat
patrick,pat
patrick,paddy
patricia,pat
patricia,patty
patricia,tricia
patricia,trish
patricia,patsy
patricia,trisha
paulie,polly
paul,polly
paula,paulie
paula,polly
pauline,paulie
pauline,polly
penelope,penny
percival,percy
peregrine,perry
peter,pet
peter,pete
philip,phil
philip,philly
philippa,pippa
philippa,philly
phillip,phil
priscilla,cilla
quincy,quin
quincy,quinn
quincy,quince
quinton,quavie
quinton,quavix
quinton,quazianit
quinton,quaveric
quinton,waverani
quinton,tonieania
quinton,quinton
rachel,ray
rachel,rach
raphael,ralph
raphael,rafi
randolph,randy
raymond,ray
rebecca,becky
rebecca,becca
rebecca,becks
rebecca,bex
rebecca,bec
regina,reggie
regina,gina
reginald,reg
reginald,reggie
renee,rae
richard,rich
richard,richie
richard,rick
richard,ricky
richard,dick
richard,dicky
robert,bob
robert,bobby
robert,bobbie
robert,robbie
robert,robin
robert,rob
robert,robby
roberta,bobbie
roderick,rod
roderick,roddy
rodrick,rod
rodrick,roddy
rodney,rod
rodney,roddy
ronald,ron
ronald,ronnie
ronald,ro
russell,russ
russell,rusty
salvador,sal
samantha,sam
samantha,sammy
samuel,sam
samuel,sammy
sarah,sadie
sarah,sally
seymour,sy
sharon,shaza
sharon,shaz
sidney,sid
simon,si
simon,sam
simon,sime
spencer,spence
stephen,steve
stephen,stevie
stephen,stevo
steven,steve
steven,stevie
steven,stevo
susan,sue
susan,susie
susan,suzy
sylvia,sylvie
sylvia,sylys
tamara,tammy
tamara,tam
tamsin,tammy
tamsin,tam
terence,terry
terence,tel
teresa, theresa
teresa,tracy
teresa,tracey
teresa,terry
teresa,terrie
theodore,ted
theodore,teddy
theodore,ed
theodore,eddy
theodore,ned
theodore,neddy
theodore,theo
thomas,tom
thomas,thom
thomas,tommy
tiffany,tiff
tiffany,tiffy
tiffany,titi
timothy,tim
timothy,timmy
tobias,toby
travis,trave
trenton,trent
trenton,tren
tristan,trist
tristan,tris
tyler,ty
tyrone,ty
tyrone,tyron
tyson,ty
una,oona
valentine,val
valerie,val
veronica,vera
veronica,ronni
veronica,ronnie
victor,vic
victor,vict
victoria,vicky
victoria,tori
victoria,vick
vincent,vinnie
vincent,vince
vincent,vin
violet,vi
violet,lettie
virginia,ginny
virginia,ginger
virginia,vergie
violeta,letta
violeta,oleta
violeta,viol
violeta,etsav
vivian,vivy
vivian,vv
vivian,vivo
walter,wal
walter,walt
walter,wally
walter,wat
wallace,wal
wallace,walt
wallace,wally
wallace,wat
wesley,wes
william,will
william,willie
william,bill
william,billy
william,liam
wendy,wagger
wendy,wiggy
wendy,piggy
wendy,pig
wendy,peg
wendy,peggy
wendy,wiz
wendy,wizard
wendy,whizzy
wendy,wen
wendy,wendi
wendy,wend
woodrow,wood
woodrow,woody
xavier,savior
xavier,xavi
xander,xan
xander,xandy
xander,xolo
ximena,xi
ximena,sime
ximena,simonetta
ximena,sima
xuan,soer xe
xuan,chua
xenia,xen
xenia,zenny
xenia,sen
yvonne,yo
yvonne,von
yousef,seth
yousef,you
yousef,steff
yousef,stef
yin,xin
yin,chinn
yin,yip
yin,china
yue,yu
yue,yew
yue,dewy
yue,duel
yue,du
yong,yem
yong,yetch
yong,yang
young,younguth
young,yugi
young,you
zachariah,zachary
zachariah,zach
zachariah,zac
zoe,zo-zo
zoe,zoey
ziggy,zig
ziggy,zag
ziggy,zags
ziggy,sui
zelda,zell
zelda,sel
zelda,sal
zelda,zella
zelda,zealand
zane,zoo
zane,bo
zane,sassy
zane,zayn
zoran,zora
